A股代码,A股简称,所属行业
002343,慈文传媒,R 文化传播
002344,海宁皮城,L 商务服务
002345,潮宏基,C 制造业
002346,柘中股份,C 制造业
002347,泰尔股份,C 制造业
002348,高乐股份,C 制造业
002349,精华制药,C 制造业
002350,北京科锐,C 制造业
002351,漫步者,C 制造业
002352,顺丰控股,G 运输仓储
002353,杰瑞股份,C 制造业
002354,天娱数科,I 信息技术
002355,兴民智通,C 制造业
002356,赫美集团,F 批发零售
002357,富临运业,G 运输仓储
002358,森源电气,C 制造业
002360,同德化工,C 制造业
002361,神剑股份,C 制造业
002362,汉王科技,C 制造业
002363,隆基机械,C 制造业
002364,中恒电气,C 制造业
002365,永安药业,C 制造业
002366,融发核电,C 制造业
002367,康力电梯,C 制造业
002368,太极股份,I 信息技术
002369,卓翼科技,C 制造业
002370,亚太药业,C 制造业
002371,北方华创,C 制造业
002372,伟星新材,C 制造业
002373,千方科技,I 信息技术
002374,中锐股份,C 制造业
002375,亚厦股份,E 建筑业
002376,新北洋,C 制造业
002377,国创高新,K 房地产
002378,章源钨业,C 制造业
002379,宏创控股,C 制造业
002380,科远智慧,I 信息技术
002381,双箭股份,C 制造业
002382,蓝帆医疗,C 制造业
002383,合众思壮,C 制造业
002384,东山精密,C 制造业
002385,大北农,C 制造业
002386,天原股份,C 制造业
002387,维信诺,C 制造业
002388,新亚制程,C 制造业
002389,航天彩虹,C 制造业
002390,信邦制药,C 制造业
002391,长青股份,C 制造业
002392,北京利尔,C 制造业
002393,力生制药,C 制造业
002394,联发股份,C 制造业
002395,双象股份,C 制造业
002396,星网锐捷,C 制造业
002397,梦洁股份,C 制造业
002398,垒知集团,C 制造业
002399,海普瑞,C 制造业
002400,省广集团,L 商务服务
